"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2020","     4710.75","     4724.75","     4693.05","     4711.55","      169077564","         2712.64"
"02-Jan-2020","     4718.70","     4800.45","     4714.90","     4796.70","      334248314","         4675.10"
"03-Jan-2020","     4793.10","     4794.05","     4737.70","     4755.75","      264104033","         3736.10"
"06-Jan-2020","     4731.95","     4737.20","     4633.60","     4639.25","      250560227","         3689.71"
"07-Jan-2020","     4672.05","     4722.55","     4647.55","     4674.65","      261805527","         3972.66"
"08-Jan-2020","     4627.55","     4693.80","     4617.35","     4686.85","      278750130","         3954.25"
"09-Jan-2020","     4733.20","     4771.10","     4730.75","     4766.10","      289248773","         5385.59"
"10-Jan-2020","     4781.05","     4815.25","     4769.50","     4787.70","      262306236","         4681.86"
"13-Jan-2020","     4805.85","     4831.25","     4803.90","     4827.05","      201585588","         3679.28"
"14-Jan-2020","     4834.05","     4868.30","     4823.80","     4865.60","      255835541","         5485.05"
"15-Jan-2020","     4862.80","     4929.15","     4847.05","     4923.80","      308548059","         6362.75"
"16-Jan-2020","     4942.15","     4975.85","     4938.15","     4968.90","      297448486","         5924.43"
"17-Jan-2020","     4965.60","     5007.00","     4948.55","     4986.55","      229940952","         4859.29"
"20-Jan-2020","     5001.75","     5002.50","     4937.60","     4944.85","      249167923","         4461.49"
"21-Jan-2020","     4922.35","     4970.00","     4918.40","     4940.60","      246766052","         4346.10"
"22-Jan-2020","     4966.20","     4966.20","     4910.30","     4921.65","      208078581","         3913.45"
"23-Jan-2020","     4919.60","     5006.15","     4916.90","     4994.30","      269964794","         5430.30"
"24-Jan-2020","     4999.85","     5055.30","     4982.40","     5037.95","      230765890","         4995.22"
"27-Jan-2020","     5019.10","     5073.95","     5004.15","     5012.85","      224844987","         4283.63"
"28-Jan-2020","     5018.05","     5037.55","     4977.20","     4994.70","      223459792","         4665.81"
"29-Jan-2020","     5027.55","     5054.60","     5006.20","     5015.75","      262920219","         6191.95"
"30-Jan-2020","     5018.30","     5020.10","     4961.15","     4976.75","      306506679","         6272.05"
"31-Jan-2020","     4988.40","     4997.75","     4908.65","     4915.70","      280611417","         5012.87"
"01-Feb-2020","     4905.45","     4954.75","     4742.95","     4762.60","      236733702","         4349.77"
"03-Feb-2020","     4755.25","     4858.85","     4738.05","     4837.10","      262597339","         5446.64"
"04-Feb-2020","     4856.70","     4920.10","     4853.85","     4906.85","      255328065","         5650.39"
"05-Feb-2020","     4928.20","     4987.30","     4924.05","     4967.45","      294179905","         6382.36"
"06-Feb-2020","     4988.25","     5023.75","     4953.50","     4998.40","      272444346","         5723.06"
"07-Feb-2020","     5008.75","     5024.60","     4987.15","     5015.45","      221517831","         5391.64"
"10-Feb-2020","     5017.60","     5017.60","     4932.50","     4957.30","      211094053","         4195.19"
"11-Feb-2020","     4976.60","     5001.80","     4942.00","     4950.45","      223444447","         4515.48"
"12-Feb-2020","     4966.85","     4982.95","     4928.00","     4945.25","      229534054","         4223.80"
"13-Feb-2020","     4949.10","     4950.70","     4913.65","     4930.15","      201160227","         4033.39"
"14-Feb-2020","     4941.45","     4966.45","     4878.00","     4887.55","      219728562","         4453.05"
"17-Feb-2020","     4896.95","     4900.05","     4837.70","     4847.50","      294349278","         8030.01"
"18-Feb-2020","     4836.00","     4836.60","     4762.20","     4823.25","      297430354","         7270.36"
"19-Feb-2020","     4856.05","     4905.55","     4840.60","     4901.20","      225501074","         4758.85"
"20-Feb-2020","     4907.30","     4965.30","     4897.40","     4927.75","      303182183","         7470.95"
"24-Feb-2020","     4899.30","     4900.15","     4805.70","     4813.80","      287608203","         5638.04"
"25-Feb-2020","     4828.15","     4865.05","     4795.70","     4807.90","      264883641","         5075.96"
"26-Feb-2020","     4781.20","     4803.60","     4729.25","     4745.35","      257477156","         4630.99"
"27-Feb-2020","     4744.65","     4744.65","     4663.60","     4702.90","      268426554","         4734.53"
"28-Feb-2020","     4594.30","     4598.35","     4491.75","     4518.30","      371744316","         6194.78"
"02-Mar-2020","     4589.35","     4636.80","     4437.35","     4469.25","      333230425","         5683.00"
"03-Mar-2020","     4513.80","     4583.15","     4469.95","     4562.20","      281091573","         5311.19"
"04-Mar-2020","     4563.65","     4577.90","     4416.60","     4500.20","      322938246","         5324.00"
"05-Mar-2020","     4523.85","     4547.05","     4464.35","     4507.40","      280648933","         4452.00"
"06-Mar-2020","     4329.75","     4395.75","     4282.65","     4380.20","      307113388","         5285.26"
"09-Mar-2020","     4272.25","     4281.75","     4097.75","     4156.90","      361118505","         5031.87"
"11-Mar-2020","     4139.95","     4222.35","     4105.95","     4123.65","      362159239","         5364.37"
"12-Mar-2020","     3948.05","     3958.85","     3736.30","     3774.75","      586165567","         6284.14"
"13-Mar-2020","     3436.65","     3946.25","     3382.15","     3920.25","      540872046","         5755.93"
"16-Mar-2020","     3747.10","     3794.65","     3630.75","     3646.75","      366038374","         4366.61"
"17-Mar-2020","     3666.30","     3741.45","     3545.95","     3560.10","      349053754","         4387.97"
"18-Mar-2020","     3600.75","     3622.90","     3324.55","     3370.60","      457160934","         5023.78"
"19-Mar-2020","     3180.20","     3356.60","     3096.60","     3233.75","      480253089","         5122.04"
"20-Mar-2020","     3258.00","     3445.30","     3213.50","     3413.55","      486067403","         5436.28"
"23-Mar-2020","     3124.45","     3185.00","     2897.00","     2905.15","      233357989","         2431.83"
"24-Mar-2020","     3013.55","     3069.10","     2855.35","     2975.15","      297209865","         3626.73"
"25-Mar-2020","     2917.25","     3125.30","     2911.15","     3110.50","      262690046","         3774.22"
